DAUID,POP_2016,POP_DENSITY,LANDAREA
35201203,772,6695.6,0.12
35201204,466,10174.7,0.05
35201205,643,7775.1,0.08
35201206,618,7872.6,0.08
35201209,258,10117.6,0.03
35201210,289,6228.4,0.05
35201211,475,9834.4,0.05
35201212,497,5510,0.09
35201213,416,2967.2,0.14
35201214,248,2666.7,0.09
35201215,656,18071.6,0.04
35201216,549,2959.6,0.19
35201217,653,864.6,0.76
35201219,974,37606.2,0.03
35201222,365,4703.6,0.08
35201228,375,2544.1,0.15
35201240,343,8070.6,0.04
35201241,616,7787.6,0.08
35201242,684,11692.3,0.06
35201243,402,5227.6,0.08
35201244,265,4351.4,0.06
35201249,524,6666.7,0.08
35201250,812,5970.6,0.14
35201251,950,9509.5,0.1
35201252,338,1820.1,0.19
35201253,502,5409.5,0.09
35201254,475,3347.4,0.14
35201255,379,4871.5,0.08
35201256,391,4287.3,0.09
35201257,294,4811.8,0.06
35201259,446,5659.9,0.08
35201263,367,7726.3,0.05
35201264,786,1575.5,0.5
35201267,482,4202.3,0.11
35201278,509,8598,0.06
35201279,489,9741,0.05
35201280,484,11804.9,0.04
35201281,478,9281.6,0.05
35201282,559,8078,0.07
35201283,410,9785.2,0.04
35201284,382,9317.1,0.04
35201285,528,7405.3,0.07
35201286,205,7945.7,0.03
35201287,409,8702.1,0.05
35201288,569,8163.6,0.07
35201289,370,8604.7,0.04
35201290,388,7983.5,0.05
